neg,neu,pos,compound,datetime
0.0,1.0,0.0,0.0,2024-12-09 12:33:36.167662
0.0,1.0,0.0,0.0,2024-12-09 12:33:36.168336
0.0,1.0,0.0,0.0,2024-12-09 12:33:36.168959
0.0,1.0,0.0,0.0,2024-12-09 12:33:36.169567
0.0,0.581,0.419,0.7579,2024-12-09 12:33:36.169891
0.0,0.885,0.115,0.0772,2024-12-09 12:33:36.170830
0.0,1.0,0.0,0.0,2024-12-09 12:33:36.170983
0.223,0.777,0.0,-0.3182,2024-12-09 12:33:36.173188
0.0,0.592,0.408,0.7351,2024-12-09 12:33:36.173544
0.0,0.734,0.266,0.4404,2024-12-09 12:33:36.174956
0.556,0.444,0.0,-0.6124,2024-12-09 12:33:36.175104
0.172,0.828,0.0,-0.4019,2024-12-09 12:33:36.175249
0.0,0.727,0.273,0.4588,2024-12-09 12:33:36.177105
0.0,1.0,0.0,0.0,2024-12-09 12:33:36.179190
0.161,0.714,0.125,-0.1531,2024-12-09 12:33:36.179356
0.213,0.787,0.0,-0.4019,2024-12-09 12:33:36.179897
0.0,1.0,0.0,0.0,2024-12-09 12:33:36.181680
0.0,0.841,0.159,0.5574,2024-12-09 12:33:36.182860
0.114,0.886,0.0,-0.4019,2024-12-09 12:33:36.184612
0.3,0.556,0.144,-0.34,2024-12-09 12:33:36.185479
0.0,1.0,0.0,0.0,2024-12-09 12:33:36.185981
0.0,1.0,0.0,0.0,2024-12-09 12:33:36.186442
0.0,1.0,0.0,0.0,2024-12-09 12:33:36.187646
0.0,0.725,0.275,0.5859,2024-12-10 12:33:36.170374
0.0,0.645,0.355,0.5267,2024-12-10 12:33:36.170519
0.0,1.0,0.0,0.0,2024-12-10 12:33:36.171130
0.0,1.0,0.0,0.0,2024-12-10 12:33:36.172813
0.0,1.0,0.0,0.0,2024-12-10 12:33:36.174198
0.0,1.0,0.0,0.0,2024-12-10 12:33:36.174505
0.0,1.0,0.0,0.0,2024-12-10 12:33:36.174655
0.0,1.0,0.0,0.0,2024-12-10 12:33:36.175543
0.0,1.0,0.0,0.0,2024-12-10 12:33:36.176758
0.0,1.0,0.0,0.0,2024-12-10 12:33:36.177603
0.278,0.722,0.0,-0.4019,2024-12-10 12:33:36.179516
0.0,1.0,0.0,0.0,2024-12-10 12:33:36.179705
0.0,1.0,0.0,0.0,2024-12-10 12:33:36.180054
0.0,1.0,0.0,0.0,2024-12-10 12:33:36.180456
0.0,1.0,0.0,0.0,2024-12-10 12:33:36.180758
0.0,1.0,0.0,0.0,2024-12-10 12:33:36.181058
0.213,0.787,0.0,-0.4019,2024-12-10 12:33:36.181494
0.121,0.879,0.0,-0.0258,2024-12-10 12:33:36.182053
0.0,1.0,0.0,0.0,2024-12-10 12:33:36.182209
0.0,1.0,0.0,0.0,2024-12-10 12:33:36.182526
0.16,0.84,0.0,-0.2732,2024-12-10 12:33:36.183291
0.177,0.408,0.415,0.5423,2024-12-10 12:33:36.183578
0.0,1.0,0.0,0.0,2024-12-10 12:33:36.185078
0.12,0.697,0.183,0.2498,2024-12-10 12:33:36.185226
0.0,1.0,0.0,0.0,2024-12-10 12:33:36.186129
0.333,0.667,0.0,-0.5423,2024-12-10 12:33:36.186726
0.0,1.0,0.0,0.0,2024-12-10 12:33:36.188941
